
   INFO  Server running on [http://0.0.0.0:8081].  

  Press Ctrl+C to stop the server
  2026-06-19 23:10:48 /api/v1/node/resolver/config ................. ~ 0.16ms
  2026-06-19 23:10:48 /api/v1/node/nodes/heartbeat ............... ~ 505.52ms
  2026-06-19 23:10:54 /api/v1/internal/geodns/health-view ........ ~ 504.54ms
  2026-06-19 23:11:09 /api/v1/internal/geodns/health-view .......... ~ 0.21ms
  2026-06-19 23:11:18 /api/v1/node/resolver/config ................. ~ 0.81ms
  2026-06-19 23:11:18 /api/v1/node/nodes/heartbeat ................. ~ 1.21ms
  2026-06-19 23:11:24 /api/v1/internal/geodns/health-view .......... ~ 0.16ms
  2026-06-19 23:11:39 /api/v1/internal/geodns/health-view .......... ~ 0.27ms
  2026-06-19 23:11:48 /api/v1/node/resolver/config ............... ~ 505.39ms
  2026-06-19 23:11:48 /api/v1/node/nodes/heartbeat ............... ~ 505.63ms
  2026-06-19 23:11:54 /api/v1/internal/geodns/health-view .......... ~ 0.22ms
  2026-06-19 23:12:09 /api/v1/internal/geodns/health-view ........ ~ 504.43ms
  2026-06-19 23:12:18 /api/v1/node/resolver/config ................. ~ 0.26ms
  2026-06-19 23:12:18 /api/v1/node/nodes/heartbeat ................. ~ 0.40ms
  2026-06-19 23:12:23 /api/v1/admin/overview ....................... ~ 0.19ms
  2026-06-19 23:12:24 /api/v1/admin/nodes .......................... ~ 0.12ms
  2026-06-19 23:12:24 /api/v1/admin/geo-dns ........................ ~ 0.05ms
  2026-06-19 23:12:24 /api/v1/admin/nodes .......................... ~ 0.15ms
  2026-06-19 23:12:24 /api/v1/internal/geodns/health-view .......... ~ 0.01ms
  2026-06-19 23:12:25 /api/v1/admin/rules .......................... ~ 0.09ms
  2026-06-19 23:12:39 /api/v1/internal/geodns/health-view .......... ~ 0.81ms
  2026-06-19 23:12:48 /api/v1/node/nodes/heartbeat ................. ~ 0.46ms
  2026-06-19 23:12:48 /api/v1/node/resolver/config ................. ~ 0.89ms
  2026-06-19 23:12:54 /api/v1/internal/geodns/health-view .......... ~ 0.68ms
  2026-06-19 23:13:04 /api/v1/admin/rules ........................ ~ 503.91ms
  2026-06-19 23:13:04 /api/v1/admin/menu-config .................. ~ 504.35ms
  2026-06-19 23:13:05 /api/v1/admin/overview ....................... ~ 0.06ms
  2026-06-19 23:13:09 /api/v1/internal/geodns/health-view .......... ~ 0.27ms
  2026-06-19 23:13:17 /api/v1/admin/nodes ........................ ~ 506.53ms
  2026-06-19 23:13:18 /api/v1/node/nodes/heartbeat ................. ~ 0.12ms
